Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90,Squad,PlSqu
Billy Blacker,eng ENG,MF,18.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheffield United,Billy BlackerSheffield United
Sai Sachdev,eng ENG,DF,19.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheffield United,Sai SachdevSheffield United
Harry Boyes,eng ENG,MF,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheffield United,Harry BoyesSheffield United
Jefferson Caceres,pe PER,FW,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheffield United,Jefferson CaceresSheffield United
Ismaila Cheick Coulibaly,ml MLI,MF,23.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheffield United,Ismaila Cheick CoulibalySheffield United
Sam Colechin,,DF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheffield United,Sam ColechinSheffield United
Luke Faxon,eng ENG,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheffield United,Luke FaxonSheffield United
Ivo Grbic,hr CRO,GK,28.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheffield United,Ivo GrbicSheffield United
Owen Hampson,eng ENG,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheffield United,Owen HampsonSheffield United
Louie Marsh,eng ENG,FW,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheffield United,Louie MarshSheffield United
Opponent Total,,,26.0,46,506,4140.0,46.0,35.0,24.0,59.0,31.0,4.0,5.0,89.0,4.0,46.1,42.1,31.2,73.3,712.0,1510.0,1488.0,0.76,0.52,1.28,0.67,1.2,1.0,0.68,1.68,0.92,1.59,Sheffield United,Opponent TotalSheffield United
Maxime Esteve,fr FRA,DF,22.0,46,46,4055.0,45.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,0.1,1.0,19.0,140.0,2.0,0.02,0.0,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,Burnley,Maxime EsteveBurnley
James Trafford,eng ENG,GK,21.0,45,45,4050.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burnley,James TraffordBurnley
Josh Cullen,ie IRL,MF,28.0,44,43,3801.0,42.2,2.0,3.0,5.0,2.0,0.0,0.0,11.0,0.0,1.7,1.7,2.6,4.3,23.0,218.0,53.0,0.05,0.07,0.12,0.05,0.12,0.04,0.06,0.1,0.04,0.1,Burnley,Josh CullenBurnley
Jaidon Anthony,eng ENG,"FW,MF",24.0,43,42,3661.0,40.7,8.0,7.0,15.0,8.0,0.0,0.0,4.0,0.0,9.4,9.4,8.0,17.3,184.0,159.0,375.0,0.2,0.17,0.37,0.2,0.37,0.23,0.2,0.43,0.23,0.43,Burnley,Jaidon AnthonyBurnley
Connor Roberts,wls WAL,DF,28.0,41,40,3636.0,40.4,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,2.5,2.5,2.4,4.9,49.0,238.0,98.0,0.05,0.07,0.12,0.05,0.12,0.06,0.06,0.12,0.06,0.12,Burnley,Connor RobertsBurnley
CJ Egan-Riley,eng ENG,DF,21.0,41,40,3601.0,40.0,1.0,1.0,2.0,1.0,0.0,0.0,7.0,1.0,1.0,1.0,0.6,1.7,26.0,129.0,9.0,0.02,0.02,0.05,0.02,0.05,0.03,0.02,0.04,0.03,0.04,Burnley,CJ Egan-RileyBurnley
Josh Brownhill,eng ENG,"MF,FW",28.0,42,39,3474.0,38.6,18.0,6.0,24.0,15.0,3.0,3.0,5.0,0.0,9.9,7.5,4.4,12.0,33.0,165.0,145.0,0.47,0.16,0.62,0.39,0.54,0.26,0.12,0.37,0.19,0.31,Burnley,Josh BrownhillBurnley
Lucas,br BRA,DF,23.0,34,32,2794.0,31.0,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,2.0,3.1,65.0,106.0,131.0,0.0,0.06,0.06,0.0,0.06,0.03,0.07,0.1,0.03,0.1,Burnley,LucasBurnley
Zian Flemming,nl NED,FW,25.0,35,28,2424.0,26.9,12.0,4.0,16.0,12.0,0.0,0.0,3.0,0.0,9.1,9.1,3.6,12.7,19.0,38.0,90.0,0.45,0.15,0.59,0.45,0.59,0.34,0.13,0.47,0.34,0.47,Burnley,Zian FlemmingBurnley
Josh Laurent,eng ENG,MF,29.0,42,25,2451.0,27.2,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,3.1,3.1,3.2,6.3,38.0,109.0,89.0,0.07,0.07,0.15,0.07,0.15,0.12,0.12,0.23,0.12,0.23,Burnley,Josh LaurentBurnley
Hannibal Mejbri,tn TUN,"MF,FW",21.0,37,23,1924.0,21.4,1.0,4.0,5.0,1.0,0.0,0.0,8.0,1.0,2.6,2.6,3.2,5.8,46.0,95.0,121.0,0.05,0.19,0.23,0.05,0.23,0.12,0.15,0.27,0.12,0.27,Burnley,Hannibal MejbriBurnley
Bashir Humphreys,eng ENG,DF,21.0,25,20,1777.0,19.7,1.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,0.6,0.6,0.8,1.4,36.0,87.0,55.0,0.05,0.1,0.15,0.05,0.15,0.03,0.04,0.07,0.03,0.07,Burnley,Bashir HumphreysBurnley
Luca Koleosho,it ITA,"FW,MF",19.0,28,20,1677.0,18.6,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,1.9,1.9,2.4,4.3,84.0,66.0,185.0,0.11,0.0,0.11,0.11,0.11,0.1,0.13,0.23,0.1,0.23,Burnley,Luca KoleoshoBurnley
Lyle Foster,za RSA,FW,23.0,28,17,1590.0,17.7,2.0,5.0,7.0,2.0,0.0,0.0,4.0,0.0,4.4,4.4,2.7,7.1,41.0,37.0,103.0,0.11,0.28,0.4,0.11,0.4,0.25,0.15,0.4,0.25,0.4,Burnley,Lyle FosterBurnley
Marcus Edwards,eng ENG,"FW,MF",25.0,14,12,936.0,10.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.7,1.7,2.2,3.8,49.0,50.0,108.0,0.1,0.1,0.19,0.1,0.19,0.16,0.21,0.37,0.16,0.37,Burnley,Marcus EdwardsBurnley
Jeremy Sarmiento,ec ECU,"FW,MF",22.0,35,11,1166.0,13.0,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,3.0,3.0,0.7,3.7,47.0,38.0,67.0,0.31,0.0,0.31,0.31,0.31,0.23,0.06,0.29,0.23,0.29,Burnley,Jeremy SarmientoBurnley
Jay Rodriguez,eng ENG,FW,35.0,20,8,747.0,8.3,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.5,1.7,0.3,2.1,2.0,11.0,24.0,0.24,0.0,0.24,0.12,0.12,0.3,0.04,0.34,0.21,0.25,Burnley,Jay RodriguezBurnley
