Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,PlSqu
Freiburg,Junior Adamu,27,at AUT,FW,de Bundesliga,23,2001,17.2,2,36,11,30.6,2.10,0.64,0.06,0.18,12.4,0,0,0,5.5,5.5,0.16,-3.5,-3.5,Junior AdamuFreiburg
Chelsea,Tosin Adarabioyo,28,eng ENG,DF,eng Premier League,26,1997,15.7,1,13,2,15.4,0.83,0.13,0.08,0.50,12.5,0,0,0,0.9,0.9,0.07,+0.1,+0.1,Tosin AdarabioyoChelsea
Reims,Martin Adeline,29,fr FRA,MF,fr Ligue 1,20,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Martin AdelineReims
Dortmund,Karim Adeyemi,30,de GER,"FW,MF",de Bundesliga,22,2002,15.9,7,46,18,39.1,2.89,1.13,0.15,0.39,17.6,0,0,0,5.5,5.5,0.12,+1.5,+1.5,Karim AdeyemiDortmund
Brighton,Simon Adingra,31,ci CIV,"FW,MF",eng Premier League,22,2002,12.2,2,33,8,24.2,2.71,0.66,0.06,0.25,17.0,0,0,0,2.5,2.5,0.07,-0.5,-0.5,Simon AdingraBrighton
Leverkusen,Amine Adli,32,ma MAR,"MF,FW",de Bundesliga,24,2000,8.5,2,20,7,35.0,2.35,0.82,0.10,0.29,13.1,0,0,0,2.7,2.7,0.14,-0.7,-0.7,Amine AdliLeverkusen
Fiorentina,Yacine Adli,33,fr FRA,MF,it Serie A,24,2000,13.7,4,14,5,35.7,1.02,0.36,0.29,0.80,21.3,2,0,0,1.0,1.0,0.07,+3.0,+3.0,Yacine AdliFiorentina
Betis,Adrian,34,es ESP,GK,es La Liga,37,1987,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,AdrianBetis
Lyon,Adryelson,35,br BRA,DF,fr Ligue 1,26,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,AdryelsonLyon
Juventus,Vasilije Adzic,36,me MNE,"MF,FW",it Serie A,18,2006,0.5,0,1,1,100.0,2.14,2.14,0.00,0.00,29.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Vasilije AdzicJuventus
Bologna,Michel Aebischer,37,ch SUI,MF,it Serie A,27,1997,8.0,0,10,5,50.0,1.24,0.62,0.00,0.00,22.0,1,0,0,0.4,0.4,0.04,-0.4,-0.4,Michel AebischerBologna
St. Pauli,Oladapo Afolayan,38,eng ENG,"FW,MF",de Bundesliga,26,1998,18.2,3,38,13,34.2,2.09,0.71,0.08,0.23,20.4,0,0,0,3.1,3.1,0.08,-0.1,-0.1,Oladapo AfolayanSt. Pauli
Wolves,Emmanuel Agbadou,39,ci CIV,DF,eng Premier League,27,1997,15.7,1,7,2,28.6,0.45,0.13,0.14,0.50,27.6,1,0,0,0.8,0.8,0.12,+0.2,+0.2,Emmanuel AgbadouWolves
Reims,Emmanuel Agbadou,40,ci CIV,DF,fr Ligue 1,27,1997,14.0,0,15,3,20.0,1.07,0.21,0.00,0.00,28.8,1,0,0,0.5,0.5,0.04,-0.5,-0.5,Emmanuel AgbadouReims
Crystal Palace,Asher Agbinone,41,eng ENG,MF,eng Premier League,18,2005,0.1,0,1,0,0.0,15.00,0.00,0.00,,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Asher AgbinoneCrystal Palace
Lens,Jeremy Agbonifo,42,se SWE,"FW,MF",fr Ligue 1,18,2005,3.3,1,6,4,66.7,1.80,1.20,0.17,0.25,14.1,0,0,0,0.7,0.7,0.11,+0.3,+0.3,Jeremy AgbonifoLens
Athletic Club,Julen Agirrezabala,43,es ESP,GK,es La Liga,23,2000,13.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Julen AgirrezabalaAthletic Club
Sevilla,Lucien Agoume,44,fr FRA,MF,es La Liga,22,2002,23.5,1,10,2,20.0,0.43,0.09,0.10,0.50,15.0,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Lucien AgoumeSevilla
Werder Bremen,Felix Agu,45,ng NGA,DF,de Bundesliga,24,1999,19.5,3,9,4,44.4,0.46,0.21,0.33,0.75,13.3,0,0,0,1.4,1.4,0.15,+1.6,+1.6,Felix AguWerder Bremen
Espanyol,Alvaro Aguado,46,es ESP,MF,es La Liga,28,1996,4.9,0,10,1,10.0,2.03,0.20,0.00,0.00,23.0,1,0,0,0.6,0.6,0.06,-0.6,-0.6,Alvaro AguadoEspanyol
Real Madrid,Lorenzo Aguado,47,es ESP,DF,es La Liga,21,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Lorenzo AguadoReal Madrid
