Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,PlSqu
Hellas Verona,Cheikh Tidiane Niasse,2594,sn SEN,MF,it Serie A,24,2000,8.4,4,0,0,11,14,0,2,17,15,0,0,0,26,19,21,47.5,Cheikh Tidiane NiasseHellas Verona
Aston Villa,Youri Tielemans,2595,be BEL,MF,eng Premier League,27,1997,33.6,4,0,0,41,56,0,119,23,58,0,0,0,145,22,18,55.0,Youri TielemansAston Villa
Arsenal,Kieran Tierney,2596,sct SCO,"DF,FW",eng Premier League,27,1997,2.9,0,0,0,1,2,2,14,3,5,0,0,0,6,5,5,50.0,Kieran TierneyArsenal
Augsburg,Phillip Tietz,2597,de GER,FW,de Bundesliga,27,1997,18.7,4,0,0,36,12,16,1,5,6,0,0,0,48,78,85,47.9,Phillip TietzAugsburg
Arsenal,Jurrien Timber,2598,nl NED,DF,eng Premier League,23,2001,26.9,7,0,0,31,29,6,28,22,38,0,0,0,94,22,20,52.4,Jurrien TimberArsenal
West Ham,Jean-Clair Todibo,2599,fr FRA,DF,eng Premier League,24,1999,20.3,3,0,0,16,6,0,3,26,28,0,0,0,79,28,26,51.9,Jean-Clair TodiboWest Ham
Nott'ham Forest,Harry Toffolo,2600,eng ENG,DF,eng Premier League,28,1995,1.5,1,0,0,1,0,0,4,2,3,0,0,0,2,1,0,100.0,Harry ToffoloNott'ham Forest
Hoffenheim,Umut Tohumcu,2601,de GER,"MF,FW",de Bundesliga,19,2004,4.2,3,0,0,6,6,0,8,3,5,0,0,0,13,0,1,0.0,Umut TohumcuHoffenheim
Lyon,Corentin Tolisso,2602,fr FRA,MF,fr Ligue 1,29,1994,25.9,4,0,0,44,50,8,32,22,25,0,1,0,128,54,58,48.2,Corentin TolissoLyon
Holstein Kiel,John Tolkin,2603,us USA,"DF,MF",de Bundesliga,22,2002,8.2,0,0,0,2,9,0,38,8,11,0,0,0,21,8,6,57.1,John TolkinHolstein Kiel
