League,Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,PlSqu
Big5,Unknown Squad,Alisson,88,br BRA,GK,eng Premier League,31,1992,27.9,7,0.25,7,0,0,0,0,0,1,0.04,1,0,0,0,0,0,AlissonUnknown Squad
Big5,Unknown Squad,Tadeo Allende,89,ar ARG,FW,es La Liga,25,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Tadeo AllendeUnknown Squad
Big5,Unknown Squad,Jim Allevinah,90,ga GAB,FW,fr Ligue 1,29,1995,19.4,39,2.00,25,1,3,6,3,1,7,0.36,4,0,0,2,1,0,Jim AllevinahUnknown Squad
Big5,Unknown Squad,Dele Alli,91,eng ENG,MF,it Serie A,28,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Dele AlliUnknown Squad
Big5,Unknown Squad,Thiago Almada,92,ar ARG,"MF,FW",fr Ligue 1,23,2001,10.6,52,4.92,39,8,1,3,1,0,11,1.04,10,0,0,0,1,0,Thiago AlmadaUnknown Squad
Big5,Unknown Squad,Domingos Andre Ribeiro Almeida,93,pt POR,"MF,FW",es La Liga,24,2000,22.0,86,3.92,54,17,1,3,9,2,6,0.27,5,1,0,0,0,0,Domingos Andre Ribeiro AlmeidaUnknown Squad
Big5,Unknown Squad,Iker Almena,94,es ESP,"FW,DF",es La Liga,20,2004,0.5,3,5.63,2,0,1,0,0,0,2,3.75,1,0,1,0,0,0,Iker AlmenaUnknown Squad
Big5,Unknown Squad,Miguel Almiron,95,py PAR,FW,eng Premier League,30,1994,1.7,8,4.59,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Miguel AlmironUnknown Squad
Big5,Unknown Squad,Pontus Almqvist,96,se SWE,"FW,MF",it Serie A,25,1999,12.4,26,2.10,15,0,5,3,3,0,2,0.16,2,0,0,0,0,0,Pontus AlmqvistUnknown Squad
Big5,Unknown Squad,Marcos Alonso,97,es ESP,DF,es La Liga,33,1990,29.4,46,1.56,38,3,1,3,0,1,6,0.20,6,0,0,0,0,0,Marcos AlonsoUnknown Squad
Big5,Unknown Squad,Giorgio Altare,98,it ITA,DF,it Serie A,25,1998,8.4,5,0.60,3,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Giorgio AltareUnknown Squad
Big5,Unknown Squad,Adria Altimira,99,es ESP,"DF,FW",es La Liga,23,2001,18.1,21,1.16,14,1,1,0,5,0,1,0.06,1,0,0,0,0,0,Adria AltimiraUnknown Squad
Big5,Unknown Squad,Sergi Altimira,100,es ESP,MF,es La Liga,22,2001,21.9,52,2.37,40,0,3,2,1,6,1,0.05,1,0,0,0,0,0,Sergi AltimiraUnknown Squad
Big5,Unknown Squad,Olabade Aluko,101,,DF,eng Premier League,,,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Olabade AlukoUnknown Squad
Big5,Unknown Squad,Edson Alvarez,102,mx MEX,MF,eng Premier League,26,1997,19.7,28,1.42,24,0,2,1,1,0,2,0.10,2,0,0,0,0,0,Edson AlvarezUnknown Squad
Big5,Unknown Squad,Hugo Alvarez,103,es ESP,"MF,DF",es La Liga,21,2003,17.5,46,2.63,38,0,5,3,0,0,9,0.52,7,0,2,0,0,0,Hugo AlvarezUnknown Squad
Big5,Unknown Squad,Julian Alvarez,104,ar ARG,FW,es La Liga,24,2000,27.9,108,3.87,76,9,9,9,2,3,15,0.54,10,1,0,3,0,1,Julian AlvarezUnknown Squad
Big5,Unknown Squad,Yeray Alvarez,105,es ESP,DF,es La Liga,29,1995,19.8,18,0.91,15,0,0,0,0,3,2,0.10,2,0,0,0,0,0,Yeray AlvarezUnknown Squad
Big5,Unknown Squad,Skelly Alvero,106,fr FRA,MF,de Bundesliga,22,2002,2.6,2,0.76,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Skelly AlveroUnknown Squad
Big5,Unknown Squad,Will Alves,107,eng ENG,FW,eng Premier League,19,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Will AlvesUnknown Squad
Big5,Unknown Squad,Selim Amallah,108,ma MAR,MF,es La Liga,27,1996,15.3,32,2.09,16,8,6,1,0,1,1,0.07,1,0,0,0,0,0,Selim AmallahUnknown Squad
Big5,Unknown Squad,Harry Amass,109,eng ENG,DF,eng Premier League,17,2007,3.8,8,2.08,7,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Harry AmassUnknown Squad
Big5,Unknown Squad,Amath,110,sn SEN,"FW,DF",es La Liga,28,1996,4.2,13,3.11,10,0,2,1,0,0,1,0.24,1,0,0,0,0,0,AmathUnknown Squad
Big5,Unknown Squad,Jordan Amavi,111,fr FRA,DF,fr Ligue 1,30,1994,8.8,14,1.59,13,0,0,1,0,0,1,0.11,1,0,0,0,0,0,Jordan AmaviUnknown Squad
Big5,Unknown Squad,Aurele Amenda,112,ch SUI,DF,de Bundesliga,21,2003,1.1,2,1.86,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Aurele AmendaUnknown Squad
Big5,Unknown Squad,Kelvin Amian,113,fr FRA,DF,fr Ligue 1,26,1998,24.1,38,1.58,26,7,1,1,2,1,1,0.04,1,0,0,0,0,0,Kelvin AmianUnknown Squad
Big5,Unknown Squad,Michael Amir Murillo,114,pa PAN,DF,fr Ligue 1,28,1996,27.1,47,1.74,39,2,3,2,0,1,6,0.22,5,0,1,0,0,0,Michael Amir MurilloUnknown Squad
Big5,Unknown Squad,Nadiem Amiri,115,de GER,MF,de Bundesliga,27,1996,27.5,119,4.33,74,30,6,5,3,1,15,0.55,13,0,0,2,0,0,Nadiem AmiriUnknown Squad
Big5,Unknown Squad,Samuel Amo-Ameyaw,116,eng ENG,"FW,DF",eng Premier League,18,2006,0.3,2,6.43,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Samuel Amo-AmeyawUnknown Squad
Big5,Unknown Squad,Samuel Amo-Ameyaw,117,eng ENG,"DF,MF",fr Ligue 1,18,2006,3.6,14,3.93,9,1,2,2,0,0,1,0.28,1,0,0,0,0,0,Samuel Amo-AmeyawUnknown Squad
Big5,Unknown Squad,Mathis Amougou,118,fr FRA,MF,eng Premier League,18,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Mathis AmougouUnknown Squad
Big5,Unknown Squad,Mathis Amougou,119,fr FRA,MF,fr Ligue 1,18,2006,9.5,17,1.78,14,0,2,1,0,0,0,0.00,0,0,0,0,0,0,Mathis AmougouUnknown Squad
Big5,Unknown Squad,Mohamed Amoura,120,dz ALG,FW,de Bundesliga,24,2000,27.4,80,2.92,56,2,6,10,4,2,13,0.47,12,0,1,0,0,0,Mohamed AmouraUnknown Squad
Big5,Unknown Squad,Sofyan Amrabat,121,ma MAR,MF,it Serie A,27,1996,2.0,4,2.00,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Sofyan AmrabatUnknown Squad
Big5,Unknown Squad,Joachim Andersen,122,dk DEN,DF,eng Premier League,28,1996,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Joachim AndersenUnknown Squad
Big5,Unknown Squad,Joachim Andersen,123,dk DEN,DF,eng Premier League,28,1996,28.7,35,1.23,27,1,0,7,0,0,2,0.07,1,1,0,0,0,0,Joachim AndersenUnknown Squad
