Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,PlSqu
Everton,Dominic Calvert-Lewin,445,eng ENG,FW,eng Premier League,27,1997,17.9,289,287,2,0,0,1,6,1,0,0,0,0,181,0,12,Dominic Calvert-LewinEverton
Parma,Drissa Camara,446,ci CIV,"MF,FW",it Serie A,22,2002,5.0,182,164,15,4,2,1,5,0,9,2,1,0,133,3,5,Drissa CamaraParma
Nice,Issiaga Camara,447,gn GUI,MF,fr Ligue 1,19,2005,0.2,16,16,0,0,0,0,0,0,0,0,0,0,15,0,0,Issiaga CamaraNice
Monaco,Lamine Camara,448,sn SEN,MF,fr Ligue 1,20,2004,22.8,1479,1332,142,52,5,11,118,3,87,39,39,0,1224,5,20,Lamine CamaraMonaco
Brest,Mahdi Camara,449,fr FRA,"MF,FW",fr Ligue 1,26,1998,29.5,1190,1100,88,12,3,0,46,8,0,0,0,0,1021,2,24,Mahdi CamaraBrest
Angers,Ousmane Camara,450,fr FRA,DF,fr Ligue 1,21,2003,2.8,101,97,3,3,0,2,0,0,0,0,0,0,91,1,1,Ousmane CamaraAngers
Milan,Francesco Camarda,451,it ITA,"FW,MF",it Serie A,16,2008,2.3,44,41,3,0,0,0,1,0,0,0,0,0,37,0,0,Francesco CamardaMilan
Real Madrid,Eduardo Camavinga,452,fr FRA,"MF,DF",es La Liga,21,2002,12.2,793,746,42,17,4,4,2,25,0,0,0,0,700,5,11,Eduardo CamavingaReal Madrid
Bologna,Nicolo Cambiaghi,453,it ITA,FW,it Serie A,23,2000,6.9,245,240,3,0,0,0,47,3,0,0,0,0,177,2,6,Nicolo CambiaghiBologna
Juventus,Andrea Cambiaso,454,it ITA,"DF,FW",it Serie A,24,2000,24.7,1667,1479,187,24,2,12,66,149,14,6,4,0,1476,1,39,Andrea CambiasoJuventus
Brest,Axel Camblan,455,fr FRA,"MF,FW",fr Ligue 1,20,2003,0.3,7,7,0,0,0,0,1,0,0,0,0,0,3,0,1,Axel CamblanBrest
Rayo Vallecano,Sergio Camello,456,es ESP,FW,es La Liga,23,2001,12.6,263,248,13,0,7,2,6,2,0,0,0,0,207,2,12,Sergio CamelloRayo Vallecano
Las Palmas,Jose Campana,457,es ESP,MF,es La Liga,31,1993,13.2,834,749,82,55,4,12,34,4,23,9,10,0,703,3,8,Jose CampanaLas Palmas
Empoli,Thomas Campaniello,458,it ITA,FW,it Serie A,16,2008,0.3,14,13,1,0,0,0,0,0,0,0,0,0,9,0,0,Thomas CampanielloEmpoli
Dortmund,Cole Campbell,459,us USA,"MF,FW",de Bundesliga,18,2006,0.2,15,15,0,0,0,0,1,0,0,0,0,0,13,0,0,Cole CampbellDortmund
Dortmund,Emre Can,460,de GER,"DF,MF",de Bundesliga,30,1994,23.4,1905,1838,64,45,3,7,11,14,0,0,0,0,1705,3,10,Emre CanDortmund
Athletic Club,Peio Canales,461,es ESP,"MF,FW",es La Liga,19,2005,2.9,112,96,16,3,0,1,16,0,11,1,9,0,89,0,1,Peio CanalesAthletic Club
Parma,Matteo Cancellieri,462,it ITA,"FW,MF",it Serie A,22,2002,15.8,313,298,15,2,4,4,21,3,2,1,0,0,211,0,10,Matteo CancellieriParma
Venezia,Fali Cande,463,gw GNB,DF,it Serie A,26,1998,17.0,939,748,187,44,0,7,7,80,0,0,0,0,761,4,11,Fali CandeVenezia
Venezia,Antonio Candela,464,it ITA,DF,it Serie A,24,2000,11.2,403,350,51,3,0,1,22,48,0,0,0,0,299,2,5,Antonio CandelaVenezia
Valladolid,Antonio Candela,465,it ITA,DF,es La Liga,24,2000,10.1,443,368,74,9,1,2,20,65,0,0,0,0,342,1,6,Antonio CandelaValladolid
Valencia,Sergi Canos,466,es ESP,"MF,FW",es La Liga,27,1997,4.1,158,149,8,1,0,1,18,3,4,0,3,0,92,1,10,Sergi CanosValencia
Toulouse,Jaydee Canvot,467,fr FRA,"DF,MF",fr Ligue 1,18,2006,12.3,536,523,13,8,2,5,6,3,0,0,0,0,462,0,11,Jaydee CanvotToulouse
Angers,Pierrick Capelle,468,fr FRA,MF,fr Ligue 1,37,1987,5.4,231,223,8,2,1,3,10,0,5,5,0,0,185,0,4,Pierrick CapelleAngers
Monza,Gianluca Caprari,469,it ITA,"MF,FW",it Serie A,31,1993,18.3,732,644,84,20,8,4,80,4,42,15,24,0,579,4,18,Gianluca CaprariMonza
Cagliari,Elia Caprile,470,it ITA,GK,it Serie A,22,2001,18.0,706,490,215,56,0,0,0,0,0,0,0,0,482,1,0,Elia CaprileCagliari
