Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,PlSqu
Liverpool,Trent Alexander-Arnold,84,eng ENG,DF,eng Premier League,25,1998,26.3,2252,88,593,1013,660,44,2252,37,17,45.9,17,45.9,1183,5353,2860,51,36,9,19,15,1436,94,Trent Alexander-ArnoldLiverpool
Celta Vigo,Alfon,85,es ESP,"FW,MF",es La Liga,25,1999,15.2,551,2,44,139,374,114,551,63,25,39.7,31,49.2,374,2856,1693,89,39,47,29,20,428,170,AlfonCelta Vigo
Nice,Mohamed Ali Cho,86,fr FRA,"FW,MF",fr Ligue 1,20,2004,18.0,720,9,75,308,356,74,720,70,20,28.6,41,58.6,460,3302,1943,81,39,30,68,26,545,133,Mohamed Ali ChoNice
Hellas Verona,Faride Alidou,87,de GER,"FW,MF",it Serie A,23,2001,0.8,31,2,5,11,17,0,31,4,2,50.0,2,50.0,17,98,44,1,3,0,1,1,19,2,Faride AlidouHellas Verona
Liverpool,Alisson,88,br BRA,GK,eng Premier League,31,1992,27.9,1011,742,991,20,0,0,1011,1,1,100.0,0,0.0,658,2625,1586,0,0,0,1,0,618,0,AlissonLiverpool
Celta Vigo,Tadeo Allende,89,ar ARG,FW,es La Liga,25,1999,0.0,4,1,1,3,0,0,4,1,0,0.0,1,100.0,3,13,4,0,0,0,0,0,3,0,Tadeo AllendeCelta Vigo
Angers,Jim Allevinah,90,ga GAB,FW,fr Ligue 1,29,1995,19.4,682,11,134,311,253,65,682,48,15,31.3,33,68.8,435,3164,1395,57,34,8,38,32,483,99,Jim AllevinahAngers
Como,Dele Alli,91,eng ENG,MF,it Serie A,28,1996,0.1,4,0,0,2,2,0,4,0,0,,0,,3,7,4,0,0,0,1,0,4,1,Dele AlliComo
Lyon,Thiago Almada,92,ar ARG,"MF,FW",fr Ligue 1,23,2001,10.6,831,19,136,382,318,31,831,14,8,57.1,5,35.7,568,2957,1483,38,34,10,17,9,652,50,Thiago AlmadaLyon
Valencia,Domingos Andre Ribeiro Almeida,93,pt POR,"MF,FW",es La Liga,24,2000,22.0,1162,15,150,596,428,43,1162,54,22,40.7,22,40.7,676,3596,1810,45,48,11,37,38,836,77,Domingos Andre Ribeiro AlmeidaValencia
Girona,Iker Almena,94,es ESP,"FW,DF",es La Liga,20,2004,0.5,39,2,4,6,30,1,39,3,2,66.7,1,33.3,32,233,152,6,3,1,1,0,31,10,Iker AlmenaGirona
Newcastle Utd,Miguel Almiron,95,py PAR,FW,eng Premier League,30,1994,1.7,81,1,10,35,36,9,81,2,1,50.0,1,50.0,54,284,93,3,3,2,0,2,59,18,Miguel AlmironNewcastle Utd
Parma,Pontus Almqvist,96,se SWE,"FW,MF",it Serie A,25,1999,12.4,462,11,67,154,253,53,462,50,20,40.0,28,56.0,298,2165,1059,42,18,22,31,13,320,85,Pontus AlmqvistParma
Celta Vigo,Marcos Alonso,97,es ESP,DF,es La Liga,33,1990,29.4,2683,211,1022,1399,298,35,2680,25,16,64.0,8,32.0,1733,10524,6481,64,48,2,20,9,1901,49,Marcos AlonsoCelta Vigo
Venezia,Giorgio Altare,98,it ITA,DF,it Serie A,25,1998,8.4,505,60,235,216,57,6,505,6,5,83.3,1,16.7,235,990,404,4,10,0,5,5,252,5,Giorgio AltareVenezia
Leganes,Adria Altimira,99,es ESP,"DF,FW",es La Liga,23,2001,18.1,826,57,248,380,209,8,826,31,10,32.3,12,38.7,370,1917,1049,23,23,4,28,7,432,69,Adria AltimiraLeganes
