League,Squad,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,PlSqu
EFL Championship,Sunderland,Romaine Mundle,eng ENG,"FW,MF",21.0,15.9,5,35,12,34.3,2.2,0.75,0.14,0.42,19.9,3.0,0,0,2.2,2.2,0.06,2.8,2.8,Romaine MundleSunderland
EFL Championship,Sunderland,Alan Browne,ie IRL,"MF,DF",29.0,13.5,1,10,3,30.0,0.74,0.22,0.1,0.33,12.8,1.0,0,0,1.4,1.4,0.14,-0.4,-0.4,Alan BrowneSunderland
EFL Championship,Sunderland,Daniel Ballard,nir NIR,DF,24.0,12.5,2,14,6,42.9,1.12,0.48,0.14,0.33,11.9,0.0,0,0,1.4,1.4,0.1,0.6,0.6,Daniel BallardSunderland
EFL Championship,Sunderland,Enzo Le Fee,fr FRA,"FW,MF",24.0,11.1,1,19,5,26.3,1.71,0.45,0.05,0.2,22.6,6.0,0,0,0.9,0.9,0.05,0.1,0.1,Enzo Le FeeSunderland
EFL Championship,Sunderland,Tom Watson,eng ENG,"FW,MF",18.0,9.9,2,26,5,19.2,2.63,0.51,0.08,0.4,16.8,0.0,0,0,1.9,1.9,0.07,0.1,0.1,Tom WatsonSunderland
EFL Championship,Sunderland,Ajibola Alese,eng ENG,DF,23.0,7.8,0,3,1,33.3,0.38,0.13,0.0,0.0,8.3,0.0,0,0,0.5,0.5,0.15,-0.5,-0.5,Ajibola AleseSunderland
EFL Championship,Sunderland,Leo Fuhr Hjelde,no NOR,DF,20.0,4.6,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Leo Fuhr HjeldeSunderland
EFL Championship,Sunderland,Simon Moore,eng ENG,GK,34.0,4.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Simon MooreSunderland
EFL Championship,Sunderland,Adil Aouchiche,fr FRA,"FW,MF",22.0,3.3,0,14,7,50.0,4.26,2.13,0.0,0.0,19.5,1.0,0,0,0.5,0.5,0.04,-0.5,-0.5,Adil AouchicheSunderland
EFL Championship,Sunderland,Milan Aleksic,rs SRB,"MF,FW",18.0,3.2,0,6,4,66.7,1.86,1.24,0.0,0.0,19.6,0.0,0,0,0.8,0.8,0.13,-0.8,-0.8,Milan AleksicSunderland
