Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,PlSqu
Bologna,Michel Aebischer,37,ch SUI,MF,it Serie A,27,1997,8.0,366,419,87.4,6537,1452,165,179,92.2,153,169,90.5,41,53,77.4,0,0.4,0.6,-0.4,8,41,5,2,33,Michel AebischerBologna
St. Pauli,Oladapo Afolayan,38,eng ENG,"FW,MF",de Bundesliga,26,1998,18.2,320,461,69.4,5556,1270,148,185,80.0,129,165,78.2,35,55,63.6,1,3.8,3.6,-2.8,21,23,14,10,32,Oladapo AfolayanSt. Pauli
Wolves,Emmanuel Agbadou,39,ci CIV,DF,eng Premier League,27,1997,15.7,855,1001,85.4,17344,6203,276,299,92.3,466,501,93.0,107,181,59.1,0,0.2,0.3,-0.2,4,40,1,0,31,Emmanuel AgbadouWolves
Reims,Emmanuel Agbadou,40,ci CIV,DF,fr Ligue 1,27,1997,14.0,810,922,87.9,16521,6962,293,316,92.7,400,417,95.9,110,174,63.2,0,0.3,0.3,-0.3,8,71,4,1,77,Emmanuel AgbadouReims
Crystal Palace,Asher Agbinone,41,eng ENG,MF,eng Premier League,18,2005,0.1,2,3,66.7,32,0,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Asher AgbinoneCrystal Palace
Lens,Jeremy Agbonifo,42,se SWE,"FW,MF",fr Ligue 1,18,2005,3.3,58,80,72.5,743,182,37,43,86.0,18,24,75.0,1,4,25.0,0,0.2,0.4,-0.2,3,4,4,2,6,Jeremy AgbonifoLens
Athletic Club,Julen Agirrezabala,43,es ESP,GK,es La Liga,23,2000,13.4,281,411,68.4,7681,5777,46,46,100.0,165,165,100.0,70,196,35.7,0,0.0,0.0,0.0,0,1,0,0,0,Julen AgirrezabalaAthletic Club
Sevilla,Lucien Agoume,44,fr FRA,MF,es La Liga,22,2002,23.5,1007,1236,81.5,15958,5460,545,601,90.7,357,425,84.0,79,142,55.6,3,2.5,1.6,+0.5,27,126,19,3,135,Lucien AgoumeSevilla
Werder Bremen,Felix Agu,45,ng NGA,DF,de Bundesliga,24,1999,19.5,655,822,79.7,10350,3456,336,379,88.7,244,298,81.9,50,81,61.7,0,1.8,2.5,-1.8,20,36,22,12,43,Felix AguWerder Bremen
Espanyol,Alvaro Aguado,46,es ESP,MF,es La Liga,28,1996,4.9,193,248,77.8,3748,1187,63,81,77.8,99,116,85.3,28,40,70.0,1,0.6,0.4,+0.4,4,31,8,3,37,Alvaro AguadoEspanyol
Real Madrid,Lorenzo Aguado,47,es ESP,DF,es La Liga,21,2002,0.1,1,1,100.0,34,0,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Lorenzo AguadoReal Madrid
Real Sociedad,Nayef Aguerd,48,ma MAR,DF,es La Liga,28,1996,19.6,1213,1389,87.3,23636,8366,438,462,94.8,618,662,93.4,144,229,62.9,0,0.1,0.3,-0.1,5,87,3,1,75,Nayef AguerdReal Sociedad
